Date,Product_ID,Product_Category,Sales_Quantity,Price_per_Unit,Revenue,Product_Name,Month
2024-01-30,P039,Groceries,10,366.69,4400.28,Bread,1
2024-01-31,P037,Toys,7,49.02,392.16,Puzzle,1
2024-02-01,P044,Groceries,11,178.54,2321.02,Eggs,2
2024-02-02,P047,Furniture,14,456.13,7298.08,Sofa,2
2024-02-03,P039,Groceries,6,280.55,1963.85,Bread,2
2024-02-04,P037,Toys,3,136.42,545.68,Puzzle,2
2024-02-05,P048,Clothing,10,478.74,5744.88,T-Shirt,2
2024-02-06,P031,Clothing,15,125.94,2140.98,Jacket,2
2024-02-07,P013,Groceries,0,453.02,453.02,Rice,2
2024-02-08,P004,Electronics,15,364.26,6192.42,Laptop,2
2024-02-09,P032,Groceries,1,371.56,743.12,Milk,2
2024-02-10,P047,Furniture,5,383.64,2301.84,Sofa,2
2024-02-11,P002,Clothing,10,255.75,3069.0,Jeans,2
2024-02-12,P048,Clothing,9,408.22,4490.42,T-Shirt,2
2024-02-13,P002,Clothing,9,418.92,4608.12,Jeans,2
2024-02-14,P017,Electronics,16,183.44,3301.92,Smartwatch,2
2024-02-15,P038,Electronics,7,203.17,1625.36,Headphones,2
2024-02-16,P045,Toys,6,444.93,3114.51,Doll,2
2024-02-17,P013,Groceries,12,264.74,3706.36,Rice,2
2024-02-18,P044,Groceries,14,434.14,6946.24,Eggs,2
2024-02-19,P013,Furniture,10,315.25,3783.0,Table,2
2024-02-20,P002,Clothing,8,298.82,2689.38,Jeans,2
2024-02-21,P038,Electronics,14,20.34,325.44,Headphones,2
2024-02-22,P013,Furniture,17,142.56,2708.64,Table,2
2024-02-23,P013,Furniture,14,253.52,4056.32,Table,2
2024-02-24,P017,Electronics,8,295.72,2661.4800000000005,Smartwatch,2
2024-02-25,P023,Groceries,11,317.07,4121.91,Vegetables,2
2024-02-26,P002,Clothing,4,359.53,1797.65,Sweater,2
2024-02-27,P044,Groceries,17,329.84,6266.959999999999,Eggs,2
2024-02-28,P023,Furniture,9,425.05,4250.5,Wardrobe,2
2024-02-29,P042,Clothing,6,151.26,1058.82,Dress,2
2024-03-01,P016,Toys,9,322.58,2903.22,Action Figure,3
2024-03-02,P013,Furniture,14,30.32,424.48,Table,3
2024-03-03,P032,Groceries,15,242.69,3640.35,Milk,3
2024-03-04,P044,Groceries,13,137.68,1789.84,Eggs,3
2024-03-05,P044,Groceries,10,193.54,1935.4,Eggs,3
2024-03-06,P004,Electronics,14,180.56,2527.84,Laptop,3
2024-03-07,P047,Furniture,12,34.91,418.92,Sofa,3
2024-03-08,P048,Clothing,19,235.99,4483.81,T-Shirt,3
2024-03-09,P032,Groceries,6,497.34,2984.04,Milk,3
2024-03-10,P039,Groceries,12,152.97,1835.64,Bread,3
2024-03-11,P038,Electronics,13,369.39,4802.07,Headphones,3
2024-03-12,P048,Clothing,8,276.16,2209.28,T-Shirt,3
2024-03-13,P023,Furniture,16,165.99,2655.84,Wardrobe,3
2024-03-14,P037,Toys,2,49.36,98.72,Puzzle,3
2024-03-15,P004,Electronics,7,111.85,782.9499999999999,Laptop,3
2024-03-16,P023,Furniture,12,392.02,4704.24,Wardrobe,3
2024-03-17,P016,Toys,7,143.11,1001.77,Lego Set,3
2024-03-18,P032,Groceries,19,76.43,1452.17,Milk,3
2024-03-19,P023,Groceries,14,168.99,2365.86,Vegetables,3
2024-03-20,P002,Clothing,9,294.1,2646.9,Sweater,3
2024-03-21,P037,Toys,18,353.21,6357.78,Puzzle,3
2024-03-22,P039,Groceries,11,196.75,2164.25,Bread,3
2024-03-23,P044,Groceries,16,251.58,4025.28,Eggs,3
2024-03-24,P042,Clothing,19,230.18,4373.42,Dress,3
2024-03-25,P018,Furniture,11,9.46,104.06,Bed,3
2024-03-26,P013,Groceries,18,200.82,3614.76,Rice,3
2024-03-27,P012,Electronics,11,295.72,3252.92,Smartphone,3
2024-03-28,P038,Electronics,4,287.12,1148.48,Headphones,3
2024-03-29,P014,Furniture,18,376.13,6770.34,Chair,3
2024-03-30,P016,Toys,19,336.84,6399.959999999999,Lego Set,3
2024-03-31,P042,Clothing,13,142.02,1846.26,Dress,3
2024-04-01,P004,Electronics,4,131.54,526.16,Laptop,4
2024-04-02,P012,Electronics,10,234.75,2347.5,Smartphone,4
2024-04-03,P013,Furniture,5,367.82,1839.1,Table,4
2024-04-04,P037,Toys,3,51.44,154.32,Puzzle,4
2024-04-05,P016,Toys,16,474.42,7590.72,Lego Set,4
2024-04-06,P047,Furniture,8,273.86,2190.88,Sofa,4
2024-04-07,P017,Electronics,7,156.67,1096.6899999999998,Smartwatch,4
2024-04-08,P031,Clothing,19,348.23,6616.370000000001,Jacket,4
2024-04-09,P038,Electronics,14,27.14,379.96,Headphones,4
2024-04-10,P045,Toys,15,244.78,3671.7,Doll,4
2024-04-11,P017,Electronics,17,245.55,4174.35,Smartwatch,4
2024-04-12,P002,Clothing,1,85.18,85.18,Sweater,4
2024-04-13,P032,Groceries,6,419.51,2517.06,Milk,4
2024-04-14,P011,Electronics,15,399.42,5991.3,Tablet,4
2024-04-15,P013,Furniture,12,80.6,967.2,Table,4
2024-04-16,P023,Groceries,2,185.09,370.18,Vegetables,4
2024-04-17,P047,Furniture,5,54.71,273.55,Sofa,4
2024-04-18,P013,Furniture,9,425.06,3825.54,Table,4
2024-04-19,P023,Furniture,14,165.04,2310.56,Wardrobe,4
2024-04-20,P011,Electronics,18,222.46,4004.28,Tablet,4
2024-04-21,P016,Toys,8,165.32,1322.56,Lego Set,4
2024-04-22,P032,Groceries,2,158.46,316.92,Milk,4
2024-04-23,P002,Clothing,9,374.91,3374.19,Jeans,4
2024-04-24,P039,Toys,7,375.05,2625.35,Remote Car,4
2024-04-25,P017,Electronics,18,261.31,4703.58,Smartwatch,4
2024-04-26,P013,Furniture,16,330.52,5288.32,Table,4
2024-04-27,P048,Clothing,5,258.27,1291.35,T-Shirt,4
2024-04-28,P044,Groceries,15,19.15,287.25,Eggs,4
2024-04-29,P045,Toys,5,37.67,188.35,Doll,4
2024-04-30,P037,Toys,11,194.95,2144.45,Puzzle,4
2024-05-01,P048,Clothing,14,376.12,5265.68,T-Shirt,5
2024-05-02,P004,Electronics,19,457.05,8683.95,Laptop,5
2024-05-03,P023,Groceries,3,19.71,59.13,Vegetables,5
2024-05-04,P031,Clothing,10,187.17,1871.7,Jacket,5
2024-05-05,P018,Furniture,6,115.77,694.62,Bed,5
2024-05-06,P013,Groceries,3,408.53,1225.59,Rice,5
2024-05-07,P039,Toys,2,423.75,847.5,Remote Car,5
2024-05-08,P002,Clothing,13,107.17,1393.21,Sweater,5
2024-05-09,P016,Toys,18,356.86,6423.4800000000005,Lego Set,5
2024-05-10,P045,Toys,2,367.22,734.44,Doll,5
2024-05-11,P045,Toys,15,92.64,1389.6,Doll,5
2024-05-12,P038,Electronics,5,219.68,1098.4,Headphones,5
2024-05-13,P016,Toys,15,312.07,4681.05,Action Figure,5
2024-05-14,P013,Furniture,17,17.9,304.29999999999995,Table,5
2024-05-15,P018,Furniture,2,205.27,410.54,Bed,5
2024-05-16,P023,Groceries,18,81.7,1470.6,Vegetables,5
2024-05-17,P045,Toys,15,273.24,4098.6,Doll,5
2024-05-18,P016,Toys,3,422.24,1266.72,Lego Set,5
2024-05-19,P002,Clothing,5,264.75,1323.75,Sweater,5
2024-05-20,P017,Electronics,11,22.81,250.91,Smartwatch,5
2024-05-21,P032,Groceries,9,19.68,177.12,Milk,5
2024-05-22,P039,Toys,5,304.72,1523.6,Remote Car,5
2024-05-23,P002,Clothing,1,167.35,167.35,Sweater,5
2024-05-24,P011,Electronics,14,288.47,4038.58,Tablet,5
2024-05-25,P032,Groceries,5,86.0,430.0,Milk,5
2024-05-26,P023,Groceries,8,389.55,3116.4,Vegetables,5
2024-05-27,P037,Toys,14,431.06,6034.84,Puzzle,5
2024-05-28,P032,Groceries,16,445.17,7122.72,Milk,5
2024-05-29,P031,Clothing,6,155.52,933.12,Jacket,5
2024-05-30,P039,Groceries,8,332.06,2656.48,Bread,5
2024-05-31,P023,Furniture,2,143.13,286.26,Wardrobe,5
2024-06-01,P002,Clothing,19,382.56,7268.64,Jeans,6
2024-06-02,P038,Electronics,9,64.66,581.9399999999999,Headphones,6
2024-06-03,P011,Electronics,5,382.57,1912.85,Tablet,6
2024-06-04,P045,Toys,5,222.67,1113.35,Doll,6
2024-06-05,P045,Toys,19,428.5,8141.5,Doll,6
2024-06-06,P013,Furniture,4,370.77,1483.08,Table,6
2024-06-07,P012,Electronics,16,191.38,3062.08,Smartphone,6
2024-06-08,P012,Electronics,16,452.25,7236.0,Smartphone,6
2024-06-09,P038,Electronics,16,145.25,2324.0,Headphones,6
2024-06-10,P012,Electronics,7,483.66,3385.6200000000003,Smartphone,6
2024-06-11,P023,Groceries,18,384.77,6925.86,Vegetables,6
2024-06-12,P048,Clothing,1,495.38,495.38,T-Shirt,6
2024-06-13,P048,Clothing,3,31.68,95.04,T-Shirt,6
2024-06-14,P047,Furniture,8,140.65,1125.2,Sofa,6
2024-06-15,P013,Groceries,1,371.93,371.93,Rice,6
2024-06-16,P011,Electronics,7,461.51,3230.57,Tablet,6
2024-06-17,P017,Electronics,7,19.24,134.67999999999998,Smartwatch,6
2024-06-18,P016,Toys,8,5.0,40.0,Lego Set,6
2024-06-19,P016,Toys,19,131.84,2504.96,Lego Set,6
2024-06-20,P018,Furniture,17,427.13,7261.21,Bed,6
2024-06-21,P038,Electronics,11,384.74,4232.14,Headphones,6
2024-06-22,P013,Furniture,15,173.44,2601.6,Table,6
2024-06-23,P023,Groceries,9,6.0,54.0,Vegetables,6
2024-06-24,P031,Clothing,17,279.58,4752.86,Jacket,6
2024-06-25,P004,Electronics,11,122.79,1350.69,Laptop,6
2024-06-26,P044,Groceries,6,374.08,2244.48,Eggs,6
2024-06-27,P038,Electronics,9,225.94,2033.46,Headphones,6
2024-06-28,P045,Toys,18,340.91,6136.38,Doll,6
2024-06-29,P014,Furniture,2,426.89,853.78,Chair,6
2024-06-30,P016,Toys,4,270.2,1080.8,Action Figure,6
2024-07-01,P048,Clothing,19,171.3,3083.4,T-Shirt,7
2024-07-02,P016,Toys,1,385.92,385.92,Action Figure,7
2024-07-03,P017,Electronics,12,136.27,1498.97,Smartwatch,7
2024-07-04,P039,Toys,3,446.3,1338.9,Remote Car,7
2024-07-05,P017,Electronics,8,40.36,322.88,Smartwatch,7
2024-07-06,P042,Clothing,5,418.56,2092.8,Dress,7
2024-07-07,P039,Toys,5,50.32,251.6,Remote Car,7
2024-07-08,P018,Furniture,12,32.79,360.69,Bed,7
2024-07-09,P018,Furniture,13,184.81,2217.7200000000003,Bed,7
2024-07-10,P018,Furniture,9,478.49,4306.41,Bed,7
2024-07-11,P016,Toys,14,491.83,6393.79,Action Figure,7
2024-07-12,P039,Toys,3,105.02,315.06,Remote Car,7
2024-07-13,P039,Toys,14,78.58,1021.54,Remote Car,7
2024-07-14,P038,Electronics,12,179.71,1976.81,Headphones,7
2024-07-15,P042,Clothing,12,171.86,1890.46,Dress,7
2024-07-16,P014,Furniture,7,381.0,2667.0,Chair,7
2024-07-17,P038,Electronics,18,224.78,3821.26,Headphones,7
2024-07-18,P013,Furniture,17,391.04,6256.64,Table,7
2024-07-19,P038,Electronics,15,375.61,5258.54,Headphones,7
2024-07-20,P016,Toys,1,291.26,291.26,Lego Set,7
2024-07-21,P013,Furniture,12,417.59,4593.49,Table,7
2024-07-22,P039,Toys,14,101.85,1324.05,Remote Car,7
2024-07-23,P018,Furniture,1,85.1,85.1,Bed,7
2024-07-24,P023,Groceries,2,376.57,753.14,Vegetables,7
2024-07-25,P004,Electronics,9,126.17,1135.53,Laptop,7
2024-07-26,P039,Groceries,14,6.38,82.94,Bread,7
2024-07-27,P038,Electronics,5,456.42,2282.1,Headphones,7
2024-07-28,P042,Clothing,9,313.35,2820.15,Dress,7
2024-07-29,P018,Furniture,14,225.24,2928.12,Bed,7
2024-07-30,P042,Clothing,5,364.24,1821.2,Dress,7
2024-07-31,P002,Clothing,16,170.0,2550.0,Sweater,7
2024-08-01,P038,Electronics,7,477.06,3339.42,Headphones,8
2024-08-02,P032,Groceries,15,38.97,545.5799999999999,Milk,8
2024-08-03,P016,Toys,17,322.27,5156.32,Action Figure,8
2024-08-04,P011,Electronics,6,389.76,2338.56,Tablet,8
2024-08-05,P045,Toys,2,237.22,474.44,Doll,8
2024-08-06,P002,Clothing,17,378.71,6059.36,Jeans,8
2024-08-07,P016,Toys,20,463.82,8812.58,Lego Set,8
2024-08-08,P039,Groceries,5,373.28,1866.4,Bread,8
2024-08-09,P012,Electronics,4,158.14,632.56,Smartphone,8
2024-08-10,P032,Groceries,15,283.11,3963.54,Milk,8
2024-08-11,P013,Groceries,6,456.24,2737.44,Rice,8
2024-08-12,P004,Electronics,8,227.3,1818.4,Laptop,8
2024-08-13,P044,Groceries,3,342.44,1027.32,Eggs,8
2024-08-14,P023,Furniture,4,235.43,941.72,Wardrobe,8
2024-08-15,P023,Furniture,1,65.07,65.07,Wardrobe,8
2024-08-16,P014,Furniture,2,34.01,68.02,Chair,8
2024-08-17,P039,Toys,14,476.38,6192.94,Remote Car,8
2024-08-18,P032,Groceries,9,308.21,2773.89,Milk,8
2024-08-19,P038,Electronics,13,56.39,676.6800000000001,Headphones,8
2024-08-20,P012,Electronics,11,429.43,4294.3,Smartphone,8
2024-08-21,P016,Toys,11,263.73,2637.3,Lego Set,8
2024-08-22,P011,Electronics,19,387.11,6967.9800000000005,Tablet,8
2024-08-23,P023,Furniture,13,67.74,812.8799999999999,Wardrobe,8
2024-08-24,P044,Groceries,17,453.92,7262.72,Eggs,8
2024-08-25,P038,Electronics,6,297.32,1783.92,Headphones,8
2024-08-26,P012,Electronics,11,370.44,3704.4,Smartphone,8
2024-08-27,P002,Clothing,16,20.53,307.95000000000005,Sweater,8
2024-08-28,P031,Clothing,9,161.08,1449.72,Jacket,8
2024-08-29,P042,Clothing,2,137.39,274.78,Dress,8
2024-08-30,P044,Groceries,19,475.05,8550.9,Eggs,8
2024-08-31,P018,Furniture,13,96.74,1160.88,Bed,8
2024-09-01,P014,Furniture,3,354.99,1064.97,Chair,9
2024-09-02,P013,Furniture,7,26.16,183.12,Table,9
2024-09-03,P023,Groceries,9,102.85,925.65,Vegetables,9
2024-09-04,P013,Groceries,8,172.61,1380.88,Rice,9
2024-09-05,P002,Clothing,6,398.28,2389.68,Sweater,9
2024-09-06,P017,Electronics,1,396.04,396.04,Smartwatch,9
2024-09-07,P045,Toys,15,476.54,6671.56,Doll,9
2024-09-08,P045,Toys,17,458.8,7340.8,Doll,9
2024-09-09,P038,Electronics,17,45.35,725.6,Headphones,9
2024-09-10,P031,Clothing,4,415.78,1663.12,Jacket,9
2024-09-11,P038,Electronics,6,228.33,1369.98,Headphones,9
2024-09-12,P012,Electronics,16,433.61,6504.150000000001,Smartphone,9
2024-09-13,P037,Toys,8,49.2,393.6,Puzzle,9
2024-09-14,P002,Clothing,1,412.27,412.27,Sweater,9
2024-09-15,P013,Groceries,14,84.02,1092.26,Rice,9
2024-09-16,P016,Toys,19,170.25,3064.5,Lego Set,9
2024-09-17,P013,Groceries,19,19.28,347.04,Rice,9
2024-09-18,P002,Clothing,14,66.25,861.25,Sweater,9
2024-09-19,P011,Electronics,15,225.63,3158.82,Tablet,9
2024-09-20,P018,Furniture,12,410.08,4510.88,Bed,9
2024-09-21,P018,Furniture,7,387.97,2715.79,Bed,9
2024-09-22,P048,Clothing,19,121.47,2186.46,T-Shirt,9
2024-09-23,P014,Furniture,4,80.09,320.36,Chair,9
2024-09-24,P044,Groceries,18,197.69,3360.73,Eggs,9
2024-09-25,P023,Furniture,20,442.22,8402.18,Wardrobe,9
2024-09-26,P048,Clothing,15,50.26,703.64,T-Shirt,9
2024-09-27,P002,Clothing,11,273.74,2737.4,Sweater,9
2024-09-28,P023,Groceries,6,48.96,293.76,Vegetables,9
2024-09-29,P018,Furniture,19,237.75,4279.5,Bed,9
2024-09-30,P047,Furniture,4,67.76,271.04,Sofa,9
2024-10-01,P012,Electronics,12,44.77,492.47,Smartphone,10
2024-10-02,P045,Toys,14,99.47,1293.11,Doll,10
2024-10-03,P002,Clothing,9,131.35,1050.8,Jeans,10
2024-10-04,P038,Electronics,11,141.75,1417.5,Headphones,10
2024-10-05,P031,Clothing,12,324.41,3568.51,Jacket,10
2024-10-06,P011,Electronics,3,32.22,96.66,Tablet,10
2024-10-07,P039,Toys,17,45.0,675.0,Remote Car,10
2024-10-08,P017,Electronics,9,98.41,787.28,Smartwatch,10
2024-10-09,P042,Clothing,20,436.67,7860.06,Dress,10
2024-10-10,P023,Furniture,1,316.16,316.16,Wardrobe,10
2024-10-11,P048,Clothing,9,366.53,2932.24,T-Shirt,10
2024-10-12,P039,Groceries,3,188.33,564.99,Bread,10
2024-10-13,P013,Groceries,1,110.54,110.54,Rice,10
2024-10-14,P039,Groceries,18,23.79,380.64,Bread,10
2024-10-15,P044,Groceries,10,246.83,2221.4700000000003,Eggs,10
2024-10-16,P045,Toys,19,289.27,4917.59,Doll,10
2024-10-17,P023,Furniture,18,449.02,7184.32,Wardrobe,10
2024-10-18,P023,Furniture,6,441.64,2649.84,Wardrobe,10
2024-10-19,P002,Clothing,8,215.22,1506.54,Sweater,10
2024-10-20,P017,Electronics,18,214.67,3434.72,Smartwatch,10
2024-10-21,P002,Clothing,9,84.76,678.08,Jeans,10
2024-10-22,P031,Clothing,11,132.44,1324.4,Jacket,10
2024-10-23,P002,Clothing,16,463.2,6484.8,Jeans,10
2024-10-24,P042,Clothing,12,74.81,822.9100000000001,Dress,10
2024-10-25,P014,Furniture,2,484.51,969.02,Chair,10
2024-10-26,P004,Electronics,13,254.85,3058.2,Laptop,10
2024-10-27,P002,Clothing,14,231.02,3003.26,Sweater,10
2024-10-28,P014,Furniture,17,91.45,1371.75,Chair,10
2024-10-29,P002,Clothing,13,332.46,3989.52,Jeans,10
2024-10-30,P039,Groceries,14,232.62,3024.06,Bread,10
2024-10-31,P048,Clothing,9,188.48,1507.84,T-Shirt,10
2024-11-01,P031,Clothing,19,135.94,2175.04,Jacket,11
2024-11-02,P045,Toys,3,37.91,113.73,Doll,11
2024-11-03,P039,Groceries,15,262.07,3406.91,Bread,11
2024-11-04,P038,Electronics,14,159.89,1918.68,Headphones,11
2024-11-05,P002,Clothing,22,355.39,6752.41,Sweater,11
2024-11-06,P038,Electronics,2,363.14,726.28,Headphones,11
2024-11-07,P044,Groceries,1,169.39,169.39,Eggs,11
2024-11-08,P042,Clothing,9,336.21,2689.68,Dress,11
2024-11-09,P016,Toys,10,133.04,1197.36,Action Figure,11
2024-11-10,P013,Furniture,9,364.95,2919.6,Table,11
2024-11-11,P039,Toys,20,12.96,220.32,Remote Car,11
2024-11-12,P045,Toys,10,80.05,720.4499999999999,Doll,11
2024-11-13,P013,Furniture,7,126.28,757.6800000000001,Table,11
2024-11-14,P013,Furniture,18,387.6,5814.0,Table,11
2024-11-15,P023,Furniture,15,37.86,492.18,Wardrobe,11
2024-11-16,P042,Clothing,14,98.09,1177.08,Dress,11
2024-11-17,P012,Electronics,15,182.52,2372.76,Smartphone,11
2024-11-18,P004,Electronics,8,9.54,66.78,Laptop,11
2024-11-19,P014,Furniture,21,382.25,6880.5,Chair,11
2024-11-20,P045,Toys,16,282.25,3951.5,Doll,11
2024-11-21,P013,Groceries,13,450.84,4959.24,Rice,11
2024-11-22,P023,Furniture,16,20.36,285.04,Wardrobe,11
2024-11-23,P016,Toys,20,139.34,2368.78,Lego Set,11
2024-11-24,P016,Toys,2,366.97,733.94,Lego Set,11
2024-11-25,P031,Clothing,22,339.2,6444.8,Jacket,11
2024-11-26,P031,Clothing,19,125.31,2004.96,Jacket,11
2024-11-27,P038,Electronics,12,299.87,2998.7,Headphones,11
2024-11-28,P038,Electronics,9,397.91,3183.28,Headphones,11
2024-11-29,P023,Groceries,6,21.52,107.6,Vegetables,11
2024-11-30,P044,Groceries,8,360.23,2521.61,Eggs,11
2024-12-01,P013,Groceries,16,129.79,1687.27,Rice,12
2024-12-02,P044,Groceries,20,474.19,7587.04,Eggs,12
2024-12-03,P045,Toys,6,271.42,1357.1,Doll,12
2024-12-04,P016,Toys,20,21.53,344.48,Lego Set,12
2024-12-05,P038,Electronics,19,204.7,3070.5,Headphones,12
2024-12-06,P002,Clothing,11,483.32,4349.88,Jeans,12
2024-12-07,P002,Clothing,15,366.53,4398.36,Sweater,12
2024-12-08,P018,Furniture,10,153.74,1229.92,Bed,12
2024-12-09,P037,Toys,16,289.76,3766.88,Puzzle,12
2024-12-10,P023,Groceries,6,301.56,1507.8,Vegetables,12
2024-12-11,P023,Groceries,18,16.56,231.84,Vegetables,12
2024-12-12,P013,Furniture,20,93.52,1496.32,Table,12
2024-12-13,P002,Clothing,14,278.13,3059.43,Jeans,12
2024-12-14,P044,Groceries,15,204.36,2452.32,Eggs,12
2024-12-15,P048,Clothing,19,99.07,1486.05,T-Shirt,12
2024-12-16,P047,Furniture,15,387.47,4649.64,Sofa,12
2024-12-17,P042,Clothing,11,247.05,2223.4500000000003,Dress,12
2024-12-18,P042,Clothing,1,158.44,158.44,Dress,12
2024-12-19,P002,Clothing,3,85.03,255.09,Jeans,12
2024-12-20,P013,Groceries,15,307.53,3690.36,Rice,12
2024-12-21,P012,Electronics,16,334.8,4352.400000000001,Smartphone,12
2024-12-22,P016,Toys,7,336.45,2018.7,Action Figure,12
2024-12-23,P048,Clothing,13,114.04,1140.4,T-Shirt,12
2024-12-24,P002,Clothing,13,299.69,2996.9,Sweater,12
2024-12-25,P002,Clothing,20,453.18,7250.88,Sweater,12
2024-12-26,P004,Electronics,1,179.83,179.83,Laptop,12
2024-12-27,P013,Furniture,20,109.33,1749.28,Table,12
2024-12-28,P013,Groceries,5,387.21,1548.84,Rice,12
2024-12-29,P004,Electronics,7,92.56,555.36,Laptop,12
2024-12-30,P042,Clothing,24,130.61,2481.59,Dress,12
2024-12-31,P012,Electronics,2,54.82,109.64,Smartphone,12
2024-01-01,P011,Electronics,16,137.6,2476.8,Tablet,1
2024-01-02,P017,Electronics,9,208.12,2081.2,Smartwatch,1
2024-01-03,P023,Furniture,3,36.76,147.04,Wardrobe,1
2024-01-04,P039,Toys,0,436.5,436.5,Remote Car,1
2024-01-05,P032,Groceries,13,259.27,3889.05,Milk,1
2024-01-06,P014,Furniture,9,296.11,2961.1000000000004,Chair,1
2024-01-07,P018,Furniture,16,188.79,3398.22,Bed,1
2024-01-08,P016,Toys,14,336.57,5385.12,Lego Set,1
2024-01-09,P023,Furniture,11,218.73,2843.49,Wardrobe,1
2024-01-10,P038,Electronics,13,381.85,5727.75,Headphones,1
2024-01-11,P038,Electronics,1,411.59,823.18,Headphones,1
2024-01-12,P031,Clothing,3,337.57,1350.28,Jacket,1
2024-01-13,P013,Furniture,0,248.21,248.21,Table,1
2024-01-14,P002,Clothing,6,392.22,2745.54,Sweater,1
2024-01-15,P039,Groceries,9,249.67,2746.37,Bread,1
2024-01-16,P011,Electronics,9,60.2,602.0,Tablet,1
2024-01-17,P013,Groceries,0,62.59,62.59,Rice,1
2024-01-18,P045,Toys,9,474.55,5220.05,Doll,1
2024-01-19,P017,Electronics,9,110.71,1107.1,Smartwatch,1
2024-01-20,P044,Groceries,12,408.88,5724.32,Eggs,1
2024-01-21,P039,Toys,12,127.12,1779.68,Remote Car,1
2024-01-22,P013,Groceries,6,218.24,1527.68,Rice,1
2024-01-23,P016,Toys,9,329.2,3621.2,Action Figure,1
2024-01-24,P045,Toys,3,83.64,334.56,Doll,1
2024-01-25,P011,Electronics,1,369.94,739.88,Tablet,1
2024-01-26,P002,Clothing,6,346.51,2425.57,Sweater,1
2024-01-27,P037,Toys,17,273.83,5202.77,Puzzle,1
2024-01-28,P039,Toys,12,285.12,3991.68,Remote Car,1
2024-01-29,P017,Electronics,17,57.36,1089.84,Smartwatch,1
2024-01-30,P031,Clothing,6,220.79,1545.53,Jacket,1
2024-01-31,P013,Furniture,10,47.85,574.2,Table,1
2024-02-01,P013,Furniture,2,157.39,472.17,Table,2
2024-02-02,P031,Clothing,13,450.65,6759.75,Jacket,2
2024-02-03,P032,Groceries,4,289.39,1446.9499999999998,Milk,2
2024-02-04,P011,Electronics,7,372.64,2981.12,Tablet,2
2024-02-05,P031,Clothing,12,289.07,4046.98,Jacket,2
2024-02-06,P018,Furniture,3,101.15,404.6,Bed,2
2024-02-07,P045,Toys,6,299.43,2096.01,Doll,2
2024-02-08,P013,Furniture,6,378.92,2652.44,Table,2
2024-02-09,P037,Toys,16,73.51,1323.18,Puzzle,2
2024-02-10,P011,Electronics,12,409.37,5731.18,Tablet,2
2024-02-11,P045,Toys,7,279.92,2239.36,Doll,2
2024-02-12,P002,Clothing,10,7.12,85.44,Sweater,2
2024-02-13,P016,Toys,9,262.29,2622.9,Lego Set,2
2024-02-14,P013,Groceries,12,200.86,2812.04,Rice,2
2024-02-15,P002,Clothing,8,151.74,1365.66,Sweater,2
2024-02-16,P004,Electronics,5,386.77,2320.62,Laptop,2
2024-02-17,P002,Clothing,4,450.25,2251.25,Jeans,2
2024-02-18,P032,Groceries,0,382.51,382.51,Milk,2
2024-02-19,P004,Electronics,0,424.15,424.15,Laptop,2
2024-02-20,P047,Furniture,15,454.85,7732.450000000001,Sofa,2
2024-02-21,P039,Groceries,9,456.75,5024.25,Bread,2
2024-02-22,P004,Electronics,10,61.75,741.0,Laptop,2
2024-02-23,P039,Toys,2,230.91,692.73,Remote Car,2
2024-02-24,P002,Clothing,5,5.14,30.84,Jeans,2
2024-02-25,P012,Electronics,9,255.7,2812.7,Smartphone,2
2024-02-26,P031,Clothing,11,462.5,6012.5,Jacket,2
2024-02-27,P045,Toys,9,103.56,1139.16,Doll,2
